dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C1,12345,28,-HMEhGV38GM_000216,FP,0.84393310546875,0.7864486768919602,5933
vggss,C1,12345,28,-HMEhGV38GM_000216,NearFP,0.6551971435546875,0.5576366891612725,7261
vggss,C1,12345,28,-HMEhGV38GM_000216,FarFP,0.9913330078125,0.9978774210665959,3769
vggss,C1,12345,28,-HMEhGV38GM_000216,HighAUDFP,0.6739979619565217,0.6343481138318994,3022
vggss,C1,12345,29,-IKnJa9U66I_000150,FP,0.7787933349609375,0.9324055666003976,3018
vggss,C1,12345,29,-IKnJa9U66I_000150,NearFP,0.637054443359375,0.8529202279202279,5616
vggss,C1,12345,29,-IKnJa9U66I_000150,FarFP,0.860107421875,1.0,1227
vggss,C1,12345,29,-IKnJa9U66I_000150,HighAUDFP,0.943359375,0.9410150891632373,1458
vggss,C1,12345,30,-Igq1W20Gi8_000000,FP,0.7872467041015625,0.4797752808988764,4450
vggss,C1,12345,30,-Igq1W20Gi8_000000,NearFP,0.677642822265625,0.5287804878048781,9225
vggss,C1,12345,30,-Igq1W20Gi8_000000,FarFP,1.0,,0
vggss,C1,12345,30,-Igq1W20Gi8_000000,HighAUDFP,0.5240575396825397,0.4978038067349927,4098
vggss,C1,12345,31,-JGpAlLrSD0_000458,FP,0.2940216064453125,0.25210084033613445,4165
vggss,C1,12345,31,-JGpAlLrSD0_000458,NearFP,0.3057861328125,0.27215041128084605,4255
vggss,C1,12345,31,-JGpAlLrSD0_000458,FarFP,,,0
vggss,C1,12345,31,-JGpAlLrSD0_000458,HighAUDFP,0.19823042168674698,0.23284313725490197,1632
vggss,C1,12345,32,-JUBdOr8Hes_000030,FP,0.2402191162109375,0.31979320531757754,4062
vggss,C1,12345,32,-JUBdOr8Hes_000030,NearFP,0.2673187255859375,0.35551707075705097,4042
vggss,C1,12345,32,-JUBdOr8Hes_000030,FarFP,,,0
vggss,C1,12345,32,-JUBdOr8Hes_000030,HighAUDFP,,,0
vggss,C1,12345,33,-JUhUI_KvUI_000026,FP,0.5723419189453125,0.5189959294436907,4422
vggss,C1,12345,33,-JUhUI_KvUI_000026,NearFP,0.6777801513671875,0.6164858000461787,4331
vggss,C1,12345,33,-JUhUI_KvUI_000026,FarFP,0.501617431640625,0.4853503184713376,4710
vggss,C1,12345,33,-JUhUI_KvUI_000026,HighAUDFP,0.716015625,0.6967741935483871,1705
vggss,C1,12345,34,-K-ccLMFE5M_000259,FP,0.3292083740234375,0.47140102827763497,3112
vggss,C1,12345,34,-K-ccLMFE5M_000259,NearFP,0.3153076171875,0.4791201785145043,3137
vggss,C1,12345,34,-K-ccLMFE5M_000259,FarFP,,,0
vggss,C1,12345,34,-K-ccLMFE5M_000259,HighAUDFP,,,0
vggss,C1,12345,35,-K1BRF6qng8_000030,FP,0.31365966796875,0.2533250850603155,6466
vggss,C1,12345,35,-K1BRF6qng8_000030,NearFP,0.224151611328125,0.19849174729652816,7028
vggss,C1,12345,35,-K1BRF6qng8_000030,FarFP,0.5424346923828125,0.49771534946691487,5909
vggss,C1,12345,35,-K1BRF6qng8_000030,HighAUDFP,0.23637736344537816,0.2183154027814222,3811
vggss,C1,12345,36,-KBH8YmHR-0_000050,FP,0.915771484375,0.8271876719867914,1817
vggss,C1,12345,36,-KBH8YmHR-0_000050,NearFP,0.7972412109375,0.8215784215784215,5005
vggss,C1,12345,36,-KBH8YmHR-0_000050,FarFP,0.9826202392578125,1.0,2
vggss,C1,12345,36,-KBH8YmHR-0_000050,HighAUDFP,0.8256191037735849,0.8202633085289067,1747
vggss,C1,12345,37,-Lmibx_Iu_E_000173,FP,0.47064208984375,0.6694398225180255,5409
vggss,C1,12345,37,-Lmibx_Iu_E_000173,NearFP,0.475372314453125,0.6864297551095563,5431
vggss,C1,12345,37,-Lmibx_Iu_E_000173,FarFP,,,0
vggss,C1,12345,37,-Lmibx_Iu_E_000173,HighAUDFP,0.367129197761194,0.6083133493205436,1251
vggss,C1,12345,38,-Lv13WPa4xk_000170,FP,0.7219390869140625,0.6015314804310834,3526
vggss,C1,12345,38,-Lv13WPa4xk_000170,NearFP,0.6496734619140625,0.5325430032543004,4302
vggss,C1,12345,38,-Lv13WPa4xk_000170,FarFP,0.870697463768116,0.8565815324165029,509
vggss,C1,12345,38,-Lv13WPa4xk_000170,HighAUDFP,0.26788651315789475,0.23684210526315788,456
vggss,C1,12345,39,-N00SskHxS4_000529,FP,0.5888214111328125,0.2876665527844209,5854
vggss,C1,12345,39,-N00SskHxS4_000529,NearFP,0.6408233642578125,0.42306467027715833,6278
vggss,C1,12345,39,-N00SskHxS4_000529,FarFP,0.6708221435546875,0.27424749163879597,3887
vggss,C1,12345,39,-N00SskHxS4_000529,HighAUDFP,0.1371527777777778,0.19668985368193811,4169
vggss,C1,12345,40,-NCa3eFLULw_000221,FP,0.2026824951171875,0.1092436974789916,3808
vggss,C1,12345,40,-NCa3eFLULw_000221,NearFP,0.205718994140625,0.1179745493107105,3772
vggss,C1,12345,40,-NCa3eFLULw_000221,FarFP,,,0
vggss,C1,12345,40,-NCa3eFLULw_000221,HighAUDFP,0.1427734375,0.05,460
vggss,C1,12345,41,-NwBdmVSg1w_000000,FP,0.57135009765625,0.24719913263462234,2767
vggss,C1,12345,41,-NwBdmVSg1w_000000,NearFP,0.6125030517578125,0.24473493100944083,2754
vggss,C1,12345,41,-NwBdmVSg1w_000000,FarFP,0.523681640625,0.25745454545454544,2750
vggss,C1,12345,41,-NwBdmVSg1w_000000,HighAUDFP,0.15,0.15053763440860216,93
vggss,C1,12345,42,-OAyRsvFGgc_000030,FP,0.5012969970703125,0.46605818596691384,3506
vggss,C1,12345,42,-OAyRsvFGgc_000030,NearFP,0.500030517578125,0.4618233618233618,3510
vggss,C1,12345,42,-OAyRsvFGgc_000030,FarFP,,,0
vggss,C1,12345,42,-OAyRsvFGgc_000030,HighAUDFP,,,0
vggss,C1,12345,43,-OVb-UG8yJw_000030,FP,0.37664794921875,0.3016393442622951,3965
vggss,C1,12345,43,-OVb-UG8yJw_000030,NearFP,0.4249267578125,0.29379077071756465,4139
vggss,C1,12345,43,-OVb-UG8yJw_000030,FarFP,0.06280517578125,0.0,1583
vggss,C1,12345,43,-OVb-UG8yJw_000030,HighAUDFP,0.39306640625,0.4375,304
vggss,C1,12345,44,-PvlrLjIAYo_000009,FP,0.51953125,0.913730255164034,2469
vggss,C1,12345,44,-PvlrLjIAYo_000009,NearFP,0.4191436767578125,0.8619260204081632,3136
vggss,C1,12345,44,-PvlrLjIAYo_000009,FarFP,0.5586700439453125,0.9324492333195192,2413
vggss,C1,12345,44,-PvlrLjIAYo_000009,HighAUDFP,0.3638637609649123,0.9297520661157025,242
vggss,C1,12345,45,-Q3MX7Tgx_E_000111,FP,0.1794281005859375,0.17973788225504472,4807
vggss,C1,12345,45,-Q3MX7Tgx_E_000111,NearFP,0.2333984375,0.2145427002461655,5281
vggss,C1,12345,45,-Q3MX7Tgx_E_000111,FarFP,0.0897484756097561,0.10217983651226158,1468
vggss,C1,12345,45,-Q3MX7Tgx_E_000111,HighAUDFP,,,0
vggss,C1,12345,46,-RBs9pPhHY8_000030,FP,0.9108734130859375,0.9307597197417228,7279
vggss,C1,12345,46,-RBs9pPhHY8_000030,NearFP,0.64599609375,0.6955116696588869,8355
vggss,C1,12345,46,-RBs9pPhHY8_000030,FarFP,0.9849090576171875,0.9977106227106227,6552
vggss,C1,12345,46,-RBs9pPhHY8_000030,HighAUDFP,0.9080307904411765,0.9447342995169082,5175
vggss,C1,12345,47,-S-TDT5oq0Q_000290,FP,0.350433349609375,0.3706950532247965,4791
vggss,C1,12345,47,-S-TDT5oq0Q_000290,NearFP,0.448272705078125,0.48109965635738833,5529
vggss,C1,12345,47,-S-TDT5oq0Q_000290,FarFP,,,0
vggss,C1,12345,47,-S-TDT5oq0Q_000290,HighAUDFP,0.39529551630434784,0.4727592267135325,2276
vggss,C1,12345,48,-SWaCArvQug_000021,FP,0.6772613525390625,0.6538461538461539,5330
vggss,C1,12345,48,-SWaCArvQug_000021,NearFP,0.6607513427734375,0.6448751642575559,6088
vggss,C1,12345,48,-SWaCArvQug_000021,FarFP,0.6134490966796875,0.5907057654075547,4024
vggss,C1,12345,48,-SWaCArvQug_000021,HighAUDFP,0.6639122596153846,0.5555555555555556,234
vggss,C1,12345,49,-Vo4CAMX26U_000030,FP,0.917510986328125,0.9965870307167235,3516
vggss,C1,12345,49,-Vo4CAMX26U_000030,NearFP,0.866119384765625,0.9957264957264957,3042
vggss,C1,12345,49,-Vo4CAMX26U_000030,FarFP,0.95086669921875,1.0,4037
vggss,C1,12345,49,-Vo4CAMX26U_000030,HighAUDFP,0.879296875,0.987434554973822,955
vggss,C1,12345,50,-W3WpZvJX2o_000027,FP,0.855499267578125,0.8125,1520
vggss,C1,12345,50,-W3WpZvJX2o_000027,NearFP,0.0287322998046875,0.07432544280748221,6041
vggss,C1,12345,50,-W3WpZvJX2o_000027,FarFP,0.9447174072265625,1.0,1297
vggss,C1,12345,50,-W3WpZvJX2o_000027,HighAUDFP,0.9089117809734514,,0
vggss,C1,12345,51,-Wd5YV97ftU_000320,FP,0.3871917724609375,0.30829268292682926,6150
vggss,C1,12345,51,-Wd5YV97ftU_000320,NearFP,0.4529876708984375,0.3707911874740197,7217
vggss,C1,12345,51,-Wd5YV97ftU_000320,FarFP,0.145416259765625,0.0915798611111111,6912
vggss,C1,12345,51,-Wd5YV97ftU_000320,HighAUDFP,0.20945581896551724,0.5625,64
vggss,C1,12345,52,-XwtCzUaN1I_000160,FP,0.75311279296875,0.7464367816091954,4350
vggss,C1,12345,52,-XwtCzUaN1I_000160,NearFP,0.7685546875,0.787508642544365,4339
vggss,C1,12345,52,-XwtCzUaN1I_000160,FarFP,,,0
vggss,C1,12345,52,-XwtCzUaN1I_000160,HighAUDFP,0.2431640625,0.26136363636363635,88
vggss,C1,12345,53,-Y-UegG9tLw_000282,FP,0.5062103271484375,0.5648467259205514,5513
vggss,C1,12345,53,-Y-UegG9tLw_000282,NearFP,0.5072174072265625,0.5318396226415094,4240
vggss,C1,12345,53,-Y-UegG9tLw_000282,FarFP,0.5727386474609375,0.5780336581045172,5645
vggss,C1,12345,53,-Y-UegG9tLw_000282,HighAUDFP,0.19516782407407407,0.494949494949495,1683
vggss,C1,12345,54,-YwPSwhe2jo_000030,FP,0.1682586669921875,0.1585826314260819,6886
vggss,C1,12345,54,-YwPSwhe2jo_000030,NearFP,0.3058013916015625,0.3445161290322581,7750
vggss,C1,12345,54,-YwPSwhe2jo_000030,FarFP,0.1149444580078125,0.09880777396700964,6123
vggss,C1,12345,54,-YwPSwhe2jo_000030,HighAUDFP,0.12782118055555555,0.15559853857726197,4653
vggss,C1,12345,55,-Z1ZSWDouUU_000030,FP,0.6445770263671875,0.22487223168654175,6457
vggss,C1,12345,55,-Z1ZSWDouUU_000030,NearFP,0.4978790283203125,0.3397135681802756,14733
vggss,C1,12345,55,-Z1ZSWDouUU_000030,FarFP,0.74896240234375,0.13140495867768595,2420
vggss,C1,12345,55,-Z1ZSWDouUU_000030,HighAUDFP,0.38241390306122447,0.22487223168654175,6457
vggss,C1,12345,56,-ZJqu_4zLMc_000030,FP,0.1157684326171875,0.26916890080428957,1865
