dataset,state,precision,group,n,valid_cosines,base_norm_mean,base_norm_median,base_norm_p25,base_norm_p75,weighted_cram_norm_mean,weighted_cram_norm_median,weighted_cram_norm_p25,weighted_cram_norm_p75,raw_cram_norm_mean,raw_cram_norm_median,raw_cram_norm_p25,raw_cram_norm_p75,total_norm_mean,total_norm_median,total_norm_p25,total_norm_p75,ratio_mean,ratio_median,ratio_p25,ratio_p75,cosine_mean,cosine_median,cosine_p25,cosine_p75,sum_relative_error_mean,sum_relative_error_median,sum_relative_error_p25,sum_relative_error_p75,negative_fraction,below_minus025,below_minus05
vggss,short,fp32,adapter,3,3,8.771694410609158e-05,8.579361094113305e-05,8.277575369345971e-05,9.169646793624414e-05,5.8649455221871815e-05,6.928765753298603e-05,5.307349816354626e-05,6.954451343575448e-05,2.3459782088748725e-09,2.771506301319441e-09,2.1229399265418503e-09,2.781780537430179e-09,0.000106699635763886,0.0001242304888406,9.717333443297899e-05,0.00012499136363314998,0.6866602883958429,0.8135963572674062,0.5956280645987487,0.8411605466287186,0.14741042795297152,0.4208573151344862,-0.09500960381625789,0.5265539033129583,4.2638571327801e-05,3.1349522865259994e-05,1.6798918693879384e-05,6.283369973045211e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
vggss,short,fp32,adapter_output_conv,3,3,7.354600261016929e-05,6.237765893949898e-05,6.15193414495763e-05,7.998849193542712e-05,4.5834345100632555e-05,4.568059946871378e-05,4.126996913141013e-05,5.03218482538956e-05,1.8333738040253024e-09,1.827223978748551e-09,1.6507987652564052e-09,2.0128739301558237e-09,9.030750038385661e-05,0.0001008073392229,7.334600615548492e-05,0.00011251891403175,0.6706136878539765,0.7530469564624642,0.5653533641962777,0.8170906458159193,0.14855179857728584,0.4740024528730031,-0.09329754787978634,0.5531264721822167,4.7652902124470365e-06,2.9630584110437e-06,2.6056864667712385e-06,6.023778057421166e-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
vggss,short,fp32,all_student,3,3,9.330447600449964e-05,9.451523178352166e-05,9.11570515410718e-05,9.605727835743845e-05,6.36340509065101e-05,7.446081482440856e-05,5.566007680925753e-05,7.702140696271188e-05,2.5453620362604033e-09,2.978432592976342e-09,2.226403072370301e-09,3.0808562785084755e-09,0.00011375140537754181,0.0001242304888406,0.00010163813203756272,0.00013110422044905002,0.6892485254914651,0.8420018403307773,0.6098308061304343,0.8450429022721521,0.15840168294606805,0.4424300699078101,-0.07852272132661309,0.5373402806996201,4.8390584132338225e-05,3.588449256361593e-05,1.906640354305735e-05,7.146171893725796e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
vggss,short,fp32,proj3_spatial,3,2,2.545389697328048e-05,3.670585451743631e-05,1.8352927258718156e-05,3.818084545992072e-05,2.1831167606114302e-05,2.7269643523641943e-05,1.3634821761820971e-05,3.274675140917145e-05,8.73246704244572e-10,1.090785740945678e-09,5.45392870472839e-10,1.309870056366858e-09,3.10929335898738e-05,3.6495970751285714e-05,1.8247985375642857e-05,4.663940038481069e-05,0.8534067107831147,0.8534067107831147,0.798165127391554,0.9086482941746754,0.002403290480714415,0.002403290480714415,-0.2794557680570792,0.28426234901850805,6.578809365485429e-05,5.275517667076287e-05,2.6377588335381435e-05,9.868214048228144e-05,0.5,0.5,0.5
flickr,old25_epoch1,fp32,F34_activation,4,4,3.113267102413624e-06,3.1147169174960207e-06,3.0812523477318734e-06,3.1467316721777715e-06,1.715513307640765e-06,1.72465392465921e-06,1.7021557275531422e-06,1.738011504746833e-06,6.862053230563058e-11,6.898615698636841e-11,6.808622910212569e-11,6.952046018987332e-11,3.7041004572152142e-06,3.6985016729602397e-06,3.6217274498240884e-06,3.7808746803513655e-06,0.5513102246661437,0.5510969833067852,0.534296944298339,0.5681102636745899,0.10106328630674967,0.10258997218543005,0.09071086493878949,0.11294239355339022,5.229344901425885e-07,5.225479441499102e-07,5.216636787390729e-07,5.238187555534258e-07,0.0,0.0,0.0
flickr,old25_epoch1,fp32,K34_activation,4,4,8.447598624918557e-06,8.418936852368679e-06,8.320840400614445e-06,8.54569507667279e-06,4.607238288001824e-06,4.614591590291841e-06,4.564121998522921e-06,4.657707879770744e-06,1.8428953152007297e-10,1.8458366361167362e-10,1.8256487994091683e-10,1.8630831519082973e-10,9.980710278273727e-06,9.944984032461325e-06,9.864688858306901e-06,1.0061005452428149e-05,0.545597100935482,0.5445957177639388,0.533320541650828,0.5568722770485928,0.08992457980976315,0.0917519837210746,0.07683187324312496,0.10484469028771279,2.652416240360473e-08,2.6545188845691916e-08,2.6469158529538484e-08,2.6600192719758162e-08,0.0,0.0,0.0
flickr,old25_epoch1,fp32,adapter,4,4,0.0007091230179049,0.0007462676218590999,0.000645939549236275,0.000809451090527725,0.000826544573899825,0.00086579439186685,0.0008088214067889,0.000883517558977775,3.3061782955995476e-08,3.4631775674676585e-08,3.2352856271558974e-08,3.534070235911309e-08,0.000326279862879925,0.0003025716844654,0.000280994774481975,0.00034785677286335004,1.2610018763456976,1.1942254217612323,1.03206874315155,1.42315855495538,-0.9535316539007879,-0.960185454649604,-0.9669953951568374,-0.9467217133935545,6.2035242726757e-05,6.159423341548309e-05,5.434692388423572e-05,6.928255225800436e-05,1.0,1.0,1.0
flickr,old25_epoch1,fp32,adapter_output_conv,4,4,0.000522224280109425,0.0005430673348995,0.00047397881209485,0.000591312802914075,0.000618749756785375,0.00064728690881325,0.000591124700051625,0.0006749119655469999,2.4749990271417e-08,2.5891476352532412e-08,2.364498800206725e-08,2.699647862188216e-08,0.000245920148942025,0.00023617867656415,0.000217170164890275,0.00026492866061590003,1.2942758616992776,1.2566346801699837,1.0719408059550266,1.4789697359142346,-0.9636047417563106,-0.9681081629628889,-0.9760028430282438,-0.9557100616909557,1.1684027294391389e-05,1.0738644597681267e-05,9.742035377766855e-06,1.26806365143058e-05,1.0,1.0,1.0
flickr,old25_epoch1,fp32,all_student,4,4,0.0008168665969836749,0.0008699962793331,0.00074804543254815,0.0009388174437686249,0.000938550556113625,0.00098532064442275,0.000933718286132975,0.0009901529144034,3.754202224454691e-08,3.941282577691238e-08,3.734873144532075e-08,3.9606116576138544e-08,0.0003700123089918,0.00033151643593405,0.00031277153276114997,0.00038875721216469997,1.2429515136276859,1.144544424605305,1.0003308258376344,1.3871651123953566,-0.9491408737333014,-0.9574513983440773,-0.96395980300673,-0.9426324690706487,7.274700391812718e-05,7.424274137092624e-05,6.504442357071376e-05,8.194532171833965e-05,1.0,1.0,1.0
flickr,old25_epoch1,fp32,proj3_spatial,4,4,0.00040492430323869997,0.0004433392201882,0.000377257269210025,0.00047100625421687503,0.000443539041378525,0.00044199325247640004,0.0004286898209427,0.000456842472912225,1.7741561655143407e-08,1.767973009905806e-08,1.714759283771072e-08,1.8273698916490746e-08,0.000172967584734375,0.00013537246825449998,0.00013142670007432498,0.00017691335291455002,1.1895932154064344,0.9925411332607259,0.9094591255733218,1.2726752230938385,-0.9426881580600404,-0.9581540789161833,-0.9622548530584282,-0.9385873839177954,0.00010562433812926834,0.0001188231478017,0.00010146557756504332,0.000122981908365925,1.0,1.0,1.0
