dataset,model,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range,cIoU,AUC,swap_rho,swap_mae
flickr,original_1.3g_final,0.8059670724868775,0.7639529941535672,0.0427062151885708,0.6600211886019148,0.9113650997263852,0.644890094346536,0.5169068597555161,0.6475452806122449,0.1905322863520408,0.0,0.0,0.0,0.0,5.275300556392308,0.9994668355994716,0.6368762798827685,0.0016277385512366,0.812,0.6356,0.9876314156834016,0.0001714904938125
flickr,cram_c3_stage1,0.7131541931629181,0.6253758674932395,0.0889044537959311,0.6731663717996365,0.7655397488727091,0.7492012545570964,0.3778928110003471,0.4631125637755102,0.0944641262755102,5175.376,4656.144,222.364,355.06,3.884994334592483,0.9982460743314748,0.6183831997752788,0.0088765285648405,0.864,0.6184000000000001,0.9860376530612246,0.0003033966640941
flickr,cram_c3_stage2,0.7562584300041199,0.658956853363678,0.0980745873711852,0.7078278416012178,0.8369354929139093,0.7256452877149907,0.4412958762645721,0.5275173788265306,0.1176957110969387,4183.672,2734.844,366.972,529.024,5.271852400003903,0.9988135424046424,0.6539349271637312,0.0023826631195843,0.896,0.6532,0.989265955882774,0.000260296073975
flickr,short_step000,0.7213436136245728,0.6291780598491792,0.0932718796527337,0.6781721812909258,0.7732057357345538,0.747854570105499,0.3711998216509819,0.4686922831632653,0.095692362882653,5110.904,4453.904,238.464,352.216,5.271829686724627,0.9988092391106174,0.6234601308974574,0.0020761067233979,0.872,0.6236,0.9864096045259436,0.0002872356271836
flickr,short_step016,0.723919242978096,0.6340086550606407,0.0909734370737423,0.6764243381198887,0.7777414291061133,0.7434880115521282,0.3784951121807098,0.474337531887755,0.0986670121173469,4991.804,4331.5,250.06,382.372,5.272047765942263,0.9988505567461208,0.6238827440914751,0.0020609777150675,0.868,0.6240000000000001,0.9860460075474696,0.0002844858681783
flickr,short_step064,0.7306334450244903,0.6383096295812352,0.0933656559781989,0.684406291463102,0.7902185257490967,0.739267071400488,0.3954462204575538,0.4854587053571428,0.1030067761479591,4809.068,4015.0,273.824,417.388,5.272504221531095,0.998937037548131,0.6295899853702603,0.002052068115212,0.872,0.6296000000000002,0.9854648251257404,0.0002783465024549
flickr,lambda025k_best,0.6705901678800583,0.5543959395364229,0.117926368346581,0.7120243581215269,0.6835743745958287,0.8064969774147739,0.3585974850058556,0.3877081473214285,0.0637458545918367,6491.256,6810.688,134.736,129.62,5.271687271529959,0.9987822569012748,0.5824931692203962,0.002374846432358,0.756,0.5825999999999999,0.9697339157419732,0.0006553254788741
flickr,lambda025k_latest,0.560375625371933,0.4291384212280574,0.1329068791890434,0.7150287477930275,0.4708820343386257,0.8411305915789673,0.3017307323813438,0.2625760522959183,0.0381394292091836,7997.684,11890.056,220.304,351.22,5.2643731896459816,0.997396519311966,0.4209820698123367,0.003801548147574,0.388,0.4216000000000001,0.909904081632653,0.001435299986042
flickr,lambda050k_best,0.5275033876895905,0.4196540457215386,0.1092240959405899,0.7035083693056157,0.4072476781163094,0.8475881895703243,0.2990632698833942,0.236488600127551,0.0436546556122448,7656.056,13471.752,216.304,286.324,5.265603892896505,0.997629690307668,0.3450462014213974,0.0039058436127379,0.248,0.344,0.965885177561394,0.0010055603925138
flickr,lambda050k_latest,0.4848979957103729,0.3695291584199257,0.1174952411337902,0.6809608495429732,0.326117303504308,0.8442823814857292,0.2538544296622276,0.1764692283163265,0.0240080516581632,8512.792,15426.152,144.96,157.272,5.254967307836577,0.9956144659810566,0.2977762565214838,0.005221197489649,0.112,0.2964,0.9346395918367348,0.001591760199517
