dataset,model,baseline,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,cram_c3_stage1,original_1.3g_final,counterfactual_gt_vs_nearfp_conditional_auroc,-0.008866208194408488,-0.015200277419193386,-0.20431324342935103,0.19018225719477788,0.3944955006241289,-0.044969571181134003,0.026751968038251105,247
flickr,cram_c3_stage1,original_1.3g_final,precision,0.10431116021056042,0.09359464981173626,0.056165824912342704,0.16129625330922365,0.10513042839688094,0.0939029110627175,0.11460363305638982,250
flickr,cram_c3_stage1,original_1.3g_final,coverage,-0.1458253508536759,-0.1449352893615417,-0.21731137066613437,-0.08003905619058788,0.1372723144755465,-0.1596419914872672,-0.1318894699999591,250
flickr,cram_c3_stage1,original_1.3g_final,pred_area_ratio,-0.1844327168367347,-0.18565648915816327,-0.24592434630102042,-0.12492526307397957,0.12099908322704085,-0.19552568359375,-0.17345111208545919,250
flickr,cram_c3_stage1,original_1.3g_final,fp_area_ratio,-0.09606816007653061,-0.08346619897959184,-0.14112822863520408,-0.043840680803571466,0.09728754783163261,-0.10464458705357144,-0.08730335618622449,250
flickr,cram_c3_stage1,original_1.3g_final,AddTP,222.364,0.0,0.0,72.0,72.0,143.2372,314.74309999999997,250
flickr,cram_c3_stage1,original_1.3g_final,AddFP,355.06,1.5,0.0,270.25,270.25,260.96000000000004,464.62,250
flickr,cram_c3_stage1,original_1.3g_final,RemoveTP,4656.144,4100.5,2263.5,6599.5,4336.0,4267.421600000001,5048.7278,250
flickr,cram_c3_stage1,original_1.3g_final,RemoveFP,5175.376,4562.0,2515.5,7385.75,4870.25,4777.9175,5591.533799999999,250
flickr,cram_c3_stage1,original_1.3g_final,addtp_rate_vs_baseline_fn,0.060583022815707065,0.0,0.0,0.02325139545673488,0.02325139545673488,0.04107848145703531,0.08021147030695411,250
flickr,cram_c3_stage1,original_1.3g_final,removefp_rate_vs_baseline_fp,0.5888616413679755,0.6000009303446748,0.4024673905903119,0.767620443060007,0.3651530524696951,0.5562122751657615,0.6189137156008294,250
flickr,cram_c3_stage2,original_1.3g_final,audio_swap_spearman,0.0016345401993724975,0.0009406009994806785,-0.002519132653061279,0.005822704081632629,0.008341836734693908,0.00047998638387124383,0.002838668500271903,250
flickr,cram_c3_stage2,original_1.3g_final,audio_swap_spearman_min,0.00540479475084039,0.0030102040816326614,-0.004974489795918358,0.015994897959183713,0.02096938775510207,0.0026854605963550914,0.007977399371865295,250
flickr,cram_c3_stage2,original_1.3g_final,audio_swap_pearson,0.0004247255325317383,-5.8203935623168945e-05,-0.002143770456314087,0.0027090460062026978,0.004852816462516785,-0.00029026710391044614,0.0011676418721675863,250
flickr,cram_c3_stage2,original_1.3g_final,audio_swap_cosine,-7.825803756713867e-05,-5.963444709777832e-05,-0.00011332333087921143,-2.92360782623291e-05,8.408725261688232e-05,-8.797853589057923e-05,-6.84039294719696e-05,250
flickr,cram_c3_stage2,original_1.3g_final,audio_map_mae,8.880559174576774e-05,8.161737059708685e-05,4.4765256461687386e-05,0.00012568667079904117,8.092141433735378e-05,8.044366730828188e-05,9.787014886460383e-05,250
flickr,cram_c3_stage2,original_1.3g_final,audio_top10_jaccard,0.03503467365967366,0.03642191142191148,-0.02272727272727279,0.11312645687645678,0.13585372960372957,0.020347769938394943,0.04889301843989343,250
flickr,cram_c3_stage2,original_1.3g_final,gt_response,-0.04970864248275757,-0.05013573169708252,-0.08236834406852722,-0.01999625563621521,0.06237208843231201,-0.055829342305660244,-0.043570213705301286,250
flickr,cram_c3_stage2,original_1.3g_final,nearfp_response,-0.10499614078988913,-0.10641598701477051,-0.15298983454704285,-0.05441248416900635,0.0985773503780365,-0.11370177360681387,-0.09622399752982233,247
flickr,cram_c3_stage2,original_1.3g_final,farfp_response,-0.14686874102188063,-0.14390872418880463,-0.2087063491344452,-0.08555662631988525,0.12314972281455994,-0.16169717530189437,-0.1312044036256362,158
flickr,cram_c3_stage2,original_1.3g_final,background_response,-0.0756109834909439,-0.07974831759929657,-0.11733347922563553,-0.025952227413654327,0.0913812518119812,-0.08413038909435272,-0.06713449389338494,250
flickr,cram_c3_stage2,original_1.3g_final,gt_nearfp_gap,0.05536837218261441,0.05597102642059326,0.021466195583343506,0.09088534116744995,0.06941914558410645,0.048240080496922196,0.06251145816645641,247
flickr,cram_c3_stage2,original_1.3g_final,gt_vs_nearfp_auroc,0.04780665299930294,0.041748046875,-0.01932525634765625,0.118072509765625,0.13739776611328125,0.03331179872217993,0.06165153816418769,247
flickr,cram_c3_stage2,original_1.3g_final,wrong_gt_response,-0.050985435962677,-0.05022969841957092,-0.08192089200019836,-0.023753538727760315,0.05816735327243805,-0.056725237596035004,-0.0448842699110508,250
flickr,cram_c3_stage2,original_1.3g_final,wrong_nearfp_response,-0.10399015241788949,-0.10852348804473877,-0.14815956354141235,-0.05786627531051636,0.090293288230896,-0.11233447527716517,-0.095659880717153,247
flickr,cram_c3_stage2,original_1.3g_final,matched_minus_wrong_gt,6.571237208845559e-06,2.4296605261042714e-06,-1.4324535641208058e-05,2.5259522772103082e-05,3.958405841331114e-05,2.4842331482432203e-06,1.0794468459334889e-05,250
flickr,cram_c3_stage2,original_1.3g_final,matched_minus_wrong_nearfp,-3.343107855029457e-06,-4.503424861468375e-06,-2.0386702090036124e-05,1.5182138668023981e-05,3.5568840758060105e-05,-7.48591919131772e-06,8.208872215088364e-07,247
flickr,cram_c3_stage2,original_1.3g_final,counterfactual_gt_nearfp_gap,9.919816271606022e-06,7.772485332679935e-06,-1.7399608623236418e-05,3.52622737409547e-05,5.2661882364191115e-05,5.170829821571557e-06,1.4857145802290853e-05,247
flickr,cram_c3_stage2,original_1.3g_final,iou,0.017058647280962756,0.018494345226967995,-0.041279596355122655,0.0686417461145983,0.10992134246972096,0.006085331771664222,0.02856783853058386,250
flickr,cram_c3_stage2,original_1.3g_final,counterfactual_gt_vs_nearfp_auroc,0.035618765106407095,0.01470184326171875,-0.13525009155273438,0.209930419921875,0.3451805114746094,0.0040132968918032,0.06659670940198396,247
flickr,cram_c3_stage2,original_1.3g_final,counterfactual_gt_vs_nearfp_conditional_auroc,0.02125892720169881,0.0005900518977571823,-0.1574553303115914,0.20467161263415018,0.36212694294574155,-0.01107134926687443,0.05510226008336936,247
flickr,cram_c3_stage2,original_1.3g_final,precision,0.08075519336845471,0.07304901601796276,0.033942386335949946,0.12360782988182917,0.08966544354587921,0.07154573715764442,0.0900447169219692,250
flickr,cram_c3_stage2,original_1.3g_final,coverage,-0.07442960681247575,-0.06840196497743095,-0.1309708314609731,-0.014489482958919164,0.11648134850205394,-0.08501980410820975,-0.06383386658385579,250
flickr,cram_c3_stage2,original_1.3g_final,pred_area_ratio,-0.12002790178571429,-0.12295719068877553,-0.1755670041454082,-0.0693459024234694,0.10622110172193881,-0.13101985012755102,-0.10917844188456634,250
flickr,cram_c3_stage2,original_1.3g_final,fp_area_ratio,-0.07283657525510205,-0.06696428571428573,-0.1095992107780612,-0.030233577806122458,0.07936563297193874,-0.08140111806441326,-0.0644602200255102,250
flickr,cram_c3_stage2,original_1.3g_final,AddTP,366.972,0.0,0.0,276.25,276.25,262.9002,489.2984999999998,250
flickr,cram_c3_stage2,original_1.3g_final,AddFP,529.024,11.5,0.0,563.75,563.75,401.3943,668.7627999999997,250
flickr,cram_c3_stage2,original_1.3g_final,RemoveTP,2734.844,2301.5,868.75,4093.5,3224.75,2448.2784,3035.0541999999996,250
flickr,cram_c3_stage2,original_1.3g_final,RemoveFP,4183.672,3614.0,2071.25,5814.75,3743.5,3831.4273000000003,4525.7894,250
flickr,cram_c3_stage2,original_1.3g_final,addtp_rate_vs_baseline_fn,0.10257951907024909,0.0,0.0,0.10515824767974015,0.10515824767974015,0.07902815699242101,0.12902372096322373,250
flickr,cram_c3_stage2,original_1.3g_final,removefp_rate_vs_baseline_fp,0.48977096006613385,0.48864114656097823,0.29055955073882755,0.6576384426350667,0.3670788918962391,0.45911477610473955,0.5222145879111093,250
