dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,cram_c3_stage2,matched_audio,gt_vs_nearfp_auroc,0.7078278416012179,0.7356414794921875,0.6093902587890625,0.835479736328125,0.2260894775390625,0.6878873575908132,0.7281783522553722,247
flickr,cram_c3_stage2,matched_audio,wrong_gt_response,0.758722594499588,0.755305290222168,0.7168828397989273,0.7981881946325302,0.0813053548336029,0.7511795481741429,0.7665021742522716,250
flickr,cram_c3_stage2,matched_audio,wrong_nearfp_response,0.6649916465224525,0.6572002172470093,0.6036936342716217,0.7268398404121399,0.12314620614051819,0.6536992517167982,0.6756722649159702,247
flickr,cram_c3_stage2,matched_audio,matched_minus_wrong_gt,1.2465363375667948e-05,9.499857696937397e-06,-8.088112736004405e-06,3.2532518162042834e-05,4.062063089804724e-05,7.649740023316554e-06,1.7829008502121717e-05,250
flickr,cram_c3_stage2,matched_audio,matched_minus_wrong_nearfp,-1.165793324425498e-06,-3.5538414522306994e-06,-2.1914942408329807e-05,1.7957685486180708e-05,3.9872627894510515e-05,-5.368042564732457e-06,3.2674215414150046e-06,247
flickr,cram_c3_stage2,matched_audio,counterfactual_gt_nearfp_gap,1.3630770448106765e-05,1.1957559763686731e-05,-1.2059856089763343e-05,4.1441715438850224e-05,5.350157152861357e-05,8.419743019231068e-06,1.8999095114990125e-05,247
flickr,cram_c3_stage2,matched_audio,iou,0.6539349271637312,0.6634099585278446,0.5891802742643789,0.7518395860075523,0.16265931174317338,0.6365806306261607,0.6694146382271522,250
flickr,cram_c3_stage2,matched_audio,counterfactual_gt_vs_nearfp_auroc,0.5690455725491759,0.5972137451171875,0.40959930419921875,0.7304611206054688,0.32086181640625,0.5405178274168326,0.5965703206956788,247
flickr,cram_c3_stage2,matched_audio,counterfactual_gt_vs_nearfp_conditional_auroc,0.5090525860283334,0.5326856056605767,0.3282493886164898,0.7124065381112186,0.3841571494947288,0.47947349285140467,0.5375229875730257,247
flickr,cram_c3_stage2,matched_audio,precision,0.7256452877149907,0.7469487086468636,0.6254671689772363,0.8569903058775353,0.23152313690029902,0.7039823702909453,0.7462498961685372,250
flickr,cram_c3_stage2,matched_audio,coverage,0.8369354929139093,0.8288944413478341,0.7571065521051241,0.9314950732367425,0.1743885211316184,0.8238467793475279,0.8505717867238657,250
flickr,cram_c3_stage2,matched_audio,pred_area_ratio,0.5275173788265306,0.5214046556122449,0.45107222576530615,0.6072574537627551,0.15618522799744894,0.5135409558354593,0.5410574298469387,250
flickr,cram_c3_stage2,matched_audio,fp_area_ratio,0.11769571109693877,0.09942004145408162,0.041070432079081634,0.16783422353316327,0.12676379145408162,0.10499912906568877,0.13036170878507655,250
flickr,cram_c3_stage2,matched_audio,AddTP,366.972,0.0,0.0,276.25,276.25,264.72159999999997,485.4101,250
flickr,cram_c3_stage2,matched_audio,AddFP,529.024,11.5,0.0,563.75,563.75,395.9512,670.4221999999999,250
flickr,cram_c3_stage2,matched_audio,RemoveTP,2734.844,2301.5,868.75,4093.5,3224.75,2456.1408,3023.6791,250
flickr,cram_c3_stage2,matched_audio,RemoveFP,4183.672,3614.0,2071.25,5814.75,3743.5,3818.2902,4535.5026,250
flickr,cram_c3_stage2,matched_audio,addtp_rate_vs_baseline_fn,0.10257951907024909,0.0,0.0,0.10515824767974015,0.10515824767974015,0.07759212580271137,0.12998703361834765,250
flickr,cram_c3_stage2,matched_audio,removefp_rate_vs_baseline_fp,0.48977096006613385,0.48864114656097823,0.29055955073882755,0.6576384426350667,0.3670788918962391,0.45851747124342096,0.5219195341913736,250
