dataset,group,seed,kind,map,sample_index,sample_id,iou,precision,coverage,pred_area_ratio,tp,fp,fn,taxonomy,GT_mean,FP_mean,GT_vs_FP_auroc,NearFP_mean,GT_vs_NearFP_auroc,FarFP_mean,GT_vs_FarFP_auroc,HighAUDFP_mean,GT_vs_HighAUDFP_auroc
vggss,C3,12345,best,IQR,3161,Yn2KgQjK5R4_000200,0.2780761258714905,0.2892209701126899,0.8782919208451123,0.40676817602040816,5903.0,14507.0,818.0,OVER,0.8013405799865723,0.6616638898849487,0.745025634765625,0.8055823445320129,0.50164794921875,0.5508255362510681,0.9086761474609375,0.7934115529060364,0.51875
vggss,C3,12345,best,AUD,3162,YqLZdK_e4-A_000030,0.5807156308851225,0.9348775163715741,0.6051970482022295,0.3286830357142857,15418.0,1074.0,10058.0,GOOD,0.6683976650238037,0.84577476978302,0.3461456298828125,0.8485573530197144,0.34228515625,,,0.9056834578514099,0.2709661989795919
vggss,C3,12345,best,IQR,3162,YqLZdK_e4-A_000030,0.5642900211034066,0.933890482724211,0.5877688805149945,0.31955516581632654,14974.0,1060.0,10502.0,GOOD,0.6517763137817383,0.8290963172912598,0.3497467041015625,0.8321789503097534,0.346771240234375,,,0.8903294801712036,0.27600845025510207
vggss,C3,12345,best,AUD,3163,YqvKDLbboxE_000027,0.23917525773195877,0.23917525773195877,1.0,0.48329878826530615,5800.0,18450.0,0.0,OVER,0.8407794237136841,0.6395535469055176,0.8026962280273438,0.8084094524383545,0.59619140625,0.519995391368866,0.9545135498046875,0.7657523155212402,0.6463328394396552
vggss,C3,12345,best,IQR,3163,YqvKDLbboxE_000027,0.23615635179153094,0.23615635179153094,1.0,0.48947704081632654,5800.0,18760.0,0.0,OVER,0.8471300601959229,0.6477469801902771,0.7877655029296875,0.8149902820587158,0.5840606689453125,0.5280770063400269,0.94708251953125,0.7755346894264221,0.618938577586207
vggss,C3,12345,best,AUD,3164,YrBpFByZmKM_000137,0.36507816630163886,0.39262508122157247,0.8387992365087628,0.24537627551020408,4834.0,7478.0,929.0,OVER,0.8240670561790466,0.7061147689819336,0.7535858154296875,0.7754258513450623,0.7072906494140625,0.5588817596435547,0.8499603271484375,0.8186122179031372,0.676038804945055
vggss,C3,12345,best,IQR,3164,YrBpFByZmKM_000137,0.35479731259907904,0.3857518056467498,0.8155474579212216,0.2428252551020408,4700.0,7484.0,1063.0,OVER,0.8170239925384521,0.7109930515289307,0.7313232421875,0.7741519212722778,0.6937103271484375,0.5641686916351318,0.8231201171875,0.8275514245033264,0.6568938873626373
vggss,C3,12345,best,AUD,3165,Ys9Tvftkin0_000070,0.28172978505629476,0.35567759651106445,0.575385419388555,0.37015704719387754,6606.0,11967.0,4875.0,OVER,0.6315677165985107,0.682655930519104,0.4666748046875,0.7213696241378784,0.414794921875,0.6624925136566162,0.492584228515625,0.7739105224609375,0.35704880617977525
vggss,C3,12345,best,IQR,3165,Ys9Tvftkin0_000070,0.2738252267106348,0.34203480589022756,0.5786081351798624,0.38707748724489793,6643.0,12779.0,4838.0,OVER,0.6368024349212646,0.705206036567688,0.4420013427734375,0.7292149066925049,0.40679931640625,0.6961392164230347,0.455657958984375,0.788396418094635,0.34032654494382025
vggss,C3,12345,best,AUD,3166,YsHxZjm-zg8_000120,0.740498099619924,0.8649959107372357,0.8372632174158892,0.34115911989795916,14807.0,2311.0,2878.0,GOOD,0.7725647687911987,0.4916004240512848,0.91119384765625,0.6157230734825134,0.798492431640625,0.4119008481502533,0.9745330810546875,0.7321212887763977,0.62046875
vggss,C3,12345,best,IQR,3166,YsHxZjm-zg8_000120,0.7250852314837689,0.8517615648035289,0.8297992649137688,0.34337133290816324,14675.0,2554.0,3010.0,GOOD,0.7728102207183838,0.49543118476867676,0.9007110595703125,0.6198747754096985,0.783721923828125,0.4143519401550293,0.968048095703125,0.7500582933425903,0.59375
vggss,C3,12345,best,AUD,3167,YsUCzO0gfro_000060,0.325295548632154,0.325295548632154,1.0,0.466976243622449,7622.0,15809.0,0.0,OVER,0.8831689357757568,0.6286841630935669,0.9659881591796875,0.747427225112915,0.9079437255859375,0.5656260251998901,0.9912872314453125,0.7099062204360962,0.9560647551546391
vggss,C3,12345,best,IQR,3167,YsUCzO0gfro_000060,0.3377198812530462,0.3377198812530462,1.0,0.44979671556122447,7622.0,14947.0,0.0,OVER,0.8864858746528625,0.621134340763092,0.970947265625,0.7400244474411011,0.92169189453125,0.5548984408378601,0.993621826171875,0.7093746662139893,0.9576353092783505
vggss,C3,12345,best,AUD,3168,YsX-dUhC-_4_000000,0.24678651266766022,0.2715903849110758,0.7298898071625345,0.388851243622449,5299.0,14212.0,1961.0,OVER,0.7458347678184509,0.7140438556671143,0.626434326171875,0.8014704585075378,0.4934539794921875,0.6505112648010254,0.7102813720703125,0.8728556632995605,0.42452924679487175
vggss,C3,12345,best,IQR,3168,YsX-dUhC-_4_000000,0.24098019712451396,0.2640182286506836,0.7341597796143251,0.40234375,5330.0,14858.0,1930.0,OVER,0.7473709583282471,0.7209269404411316,0.6216888427734375,0.8031681776046753,0.490997314453125,0.6606002449989319,0.7069549560546875,0.8804354667663574,0.41025641025641024
vggss,C3,12345,best,AUD,3169,Ysjdu0ZZmQE_000100,0.0416877210712481,0.0416877210712481,1.0,0.47329400510204084,990.0,22758.0,0.0,OVER,0.8419485688209534,0.7278858423233032,0.7686004638671875,0.8205475807189941,0.5802154541015625,0.6934404373168945,0.832244873046875,0.7928407788276672,0.6268583131067962
vggss,C3,12345,best,IQR,3169,Ysjdu0ZZmQE_000100,0.04082979337650019,0.04082979337650019,1.0,0.4832389987244898,990.0,23257.0,0.0,OVER,0.8500978946685791,0.7363980412483215,0.77679443359375,0.8300071954727173,0.5849609375,0.6986492872238159,0.8456268310546875,0.8004205226898193,0.6283753033980584
vggss,C3,12345,best,AUD,3170,Ysqh1uzqGrc_000000,0.5209667324635309,0.678687907676869,0.6915260736196319,0.31776147959183676,10821.0,5123.0,4827.0,GOOD,0.6596205830574036,0.6311130523681641,0.62841796875,0.6975384950637817,0.5525970458984375,0.586778998374939,0.6822052001953125,0.6904351115226746,0.5712209302325582
vggss,C3,12345,best,IQR,3170,Ysqh1uzqGrc_000000,0.5065171688857744,0.6531718778239654,0.6928680981595092,0.3308155293367347,10842.0,5757.0,4806.0,GOOD,0.67226642370224,0.6542708277702332,0.6238250732421875,0.726586103439331,0.5462188720703125,0.6047335863113403,0.68145751953125,0.7105945944786072,0.5734920058139535
vggss,C3,12345,best,AUD,3171,Ytblri7hn-0_000031,0.15583408181595493,0.16665938959961576,0.7058062130177515,0.45645328443877553,3817.0,19086.0,1591.0,OVER,0.7040402889251709,0.7029188275337219,0.5273590087890625,0.8032455444335938,0.347503662109375,0.6712974309921265,0.6009368896484375,0.804922878742218,0.3689272584033614
vggss,C3,12345,best,IQR,3171,Ytblri7hn-0_000031,0.160252606594897,0.17212181909227478,0.6991494082840237,0.4377989477040816,3781.0,18186.0,1627.0,OVER,0.6971065402030945,0.6930025815963745,0.5295562744140625,0.7992665767669678,0.3492584228515625,0.6567270755767822,0.60528564453125,0.7960242033004761,0.37536108193277307
vggss,C3,12345,best,AUD,3172,Ytj9squ563E_000006,0.5747801570786064,0.8986670864819479,0.6146143631339052,0.37978316326530615,17125.0,1931.0,10738.0,GOOD,0.6345086097717285,0.5413056015968323,0.6500396728515625,0.5251907110214233,0.667449951171875,0.6861040592193604,0.4625459558823529,0.7057204246520996,0.4210526315789474
vggss,C3,12345,best,IQR,3172,Ytj9squ563E_000006,0.5859424283674757,0.8866559485530546,0.6333847755087392,0.39668367346938777,17648.0,2256.0,10215.0,GOOD,0.6451719999313354,0.5780127048492432,0.62396240234375,0.5641593933105469,0.6365509033203125,0.7073867917060852,0.4593864889705883,0.7513427138328552,0.3583470394736842
