sample_index,sample_id,IoU_AUD_L4,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_FINE
18,10111706074,0.582870589828672,0.5918912600607822,0.5670064045175952,0.5838356439622262,0.5896857238381812
19,10119607346,0.4577571127423864,0.47997453323265077,0.4429938165321675,0.4829355838685276,0.4809815223672707
20,10119736773,0.6902636694685541,0.6930519870988903,0.6949394252186668,0.69263015551048,0.6940455102875052
21,10129791115,0.6209562475705093,0.6333309399009119,0.648229569244731,0.6670881586454687,0.6366189879434769
22,10129813456,0.7646212772610022,0.7772373088779763,0.7537198481889064,0.7723607866777183,0.7833485875618572
23,10163352444,0.6731421101433414,0.716186842922415,0.7068779932296461,0.7413728460234856,0.7322949333412601
24,10165890496,0.4355465512478129,0.4580520228188622,0.42548806741862477,0.44113159233211147,0.45169128572677214
25,10173808724,0.6190712442945029,0.6310425088815387,0.5288048780487805,0.5529902042966972,0.6012094905996245
26,10202025415,0.658523217735637,0.7229460359212527,0.5984001317215735,0.639502516214845,0.6907094988145326
27,10221582415,0.5663279451295218,0.5713561837200043,0.5250155212201436,0.5185900986365297,0.5517188112694131
28,10234680056,0.6622859080888588,0.7126858275520317,0.6601724960796346,0.7118026540094261,0.7123849705989834
29,10246013484,0.7265362541993281,0.728149750532082,0.7514900778346539,0.7519987376393856,0.7374060478937249
30,10268129763,0.6426154984670684,0.6641698735568994,0.6915322580645161,0.7256200469621368,0.6932326026814216
31,10278084464,0.5496278953089723,0.5390635832806939,0.6070997387151996,0.60448981699864,0.5703535884780322
32,10283938426,0.6003306993974276,0.5799692162331033,0.6486694274082229,0.6473725218595793,0.602987308715107
33,10289643764,0.5832033088144241,0.6287188603313335,0.5664860358482701,0.6068893171671831,0.6223371505972171
34,10304554474,0.5537165111126032,0.5834834736462804,0.6057771271467848,0.6175487372985139,0.5943668911151256
35,10308472565,0.7610764845146639,0.7705226328449596,0.8177693208430913,0.7932286995515695,0.7816216455192537
36,10369815925,0.5534143222506394,0.5647091779566059,0.5305145081568367,0.5376647351417876,0.5525126398038915
37,10389014583,0.7321171121215482,0.7646362886745779,0.7127238419416901,0.7482921892507319,0.7601835915088927
38,10409146004,0.4660262037127345,0.4884161422622961,0.46791027467612073,0.48599310036414745,0.4865953012504737
39,10409351364,0.6286631544287126,0.6163884673748103,0.6304097179328804,0.6244428942371042,0.6201359453163784
40,10413912845,0.3354268190220131,0.3302158273381295,0.40540484400315735,0.3716666017830031,0.3522458169960014
41,10437048305,0.6343191379553026,0.6864976880132379,0.6444314508924947,0.6982221718944627,0.6889504240154817
42,10440265465,0.2277925648600427,0.23883472809363587,0.28110113462482317,0.2901491253226269,0.2587484916393725
43,10441843213,0.6226078628865809,0.6609304780334896,0.6699022704347395,0.7134445534838076,0.6815724894541838
44,10446128125,0.7245265481584756,0.7273157439587514,0.668064793802332,0.6776199068949308,0.7106712591863621
45,10451898725,0.0814391776127927,0.07328628057623514,0.06700539034895417,0.07363113323421036,0.07585429210044099
46,10468313544,0.38829920355675945,0.39259301158137366,0.4035082267762534,0.40770650328486013,0.39764372017027133
47,10476442285,0.7113198108058941,0.7113386948144425,0.7421521354064161,0.7667135160459124,0.7362941486557723
48,10476446674,0.6699844716544052,0.6644459415624921,0.6945029111882568,0.6929602740843462,0.6788255076962877
49,10477544895,0.5114141713608064,0.48900381430191403,0.4711753921368914,0.45238999683444125,0.4767616944388677
50,10481128583,0.5751920372173537,0.6062482983936837,0.6441013460015835,0.6400704175261398,0.6251288040118156
51,10520382525,0.6671145520080193,0.6722088823422587,0.6702621076475029,0.6876627299048095,0.679217513951064
52,10545790805,0.7077290194620057,0.7475895943241768,0.7095926205767535,0.7506740632844702,0.7486469958721907
53,10548273474,0.3951316212451334,0.39863420824150136,0.3875572920580059,0.39047027506654836,0.39368770764119604
54,10549911663,0.3244033256580308,0.343755505861625,0.3127372564400678,0.32512526052809565,0.33678061859618885
55,10555704135,0.45556188426892813,0.44915443944728217,0.4291236842658151,0.4240589028310692,0.44313903006110983
56,10557361454,0.3123018791367636,0.2715437209200725,0.33666783509046294,0.2902101962605969,0.2766405712891708
57,10610974774,0.7258475020990764,0.7334830693251373,0.699234069433843,0.7090952205301154,0.7240803554994609
58,10624261424,0.7351709228482638,0.766443402545211,0.7044018304641534,0.7314268356188162,0.7520704845814978
59,10635080206,0.7957334577292953,0.7525932391151096,0.7856139466196016,0.7607454783027302,0.7609500203721309
60,10654057765,0.6828545713642841,0.6889233419465978,0.7488052108224774,0.7375813449023861,0.7152795119688916
61,10659354545,0.5139733306084913,0.5369162569106519,0.47337938915437355,0.5008667529107373,0.5255881825862113
62,10666396623,0.6970824035044219,0.6950003971090462,0.6661151681119732,0.66683115838725,0.680141708157794
63,10667001125,0.4062933721644559,0.37769411366568667,0.38432731420700345,0.3728831255611936,0.3757548976285167
64,10701841844,0.5481912906713851,0.5184127697841726,0.5306763950073421,0.49949651757992786,0.511656388050562
65,10743985374,0.5261754726126999,0.5261310246529061,0.5228915987697621,0.5224208675263775,0.5258106424158867
66,10751849775,0.7422628333704777,0.7168977209322288,0.7481559699986025,0.7303543913713405,0.7263514989153066
67,10761625676,0.6469968051118211,0.6183925105605663,0.664284234514191,0.6518632758403626,0.6316555740432612
68,10771238614,0.7517406160881741,0.7316160885719273,0.7487809528998338,0.7489708655352827,0.7436252985132116
69,10795023275,0.41185299287082566,0.4182542671926729,0.41821258082059337,0.42206427069776753,0.419324708360659
70,10796050285,0.6270981353355465,0.6782701053135471,0.605313240983402,0.6655148478995654,0.673651975501381
71,10805310706,0.47504022400066864,0.46316409184108487,0.4810515893914179,0.4734203849248097,0.4682245478935835
72,10847897294,0.6964574081550262,0.6721556410337921,0.6702772823090644,0.6578666666666667,0.6645045498913694
73,10859255295,0.5885556024973009,0.6327610194627487,0.5515897497630047,0.5786224677716391,0.6166538351222016
74,10862172945,0.6651590457256461,0.7026225916618338,0.5817582630609673,0.6371907070452685,0.6807955449482895
75,10939270325,0.48990444971404656,0.5046415678184631,0.437042671882924,0.46515741700318053,0.49401218450826806
76,10952523225,0.7517826825127334,0.791091504198093,0.7181477684082778,0.7301955229326293,0.7685026364271648
77,10979853044,0.5859961729182527,0.609137731151529,0.5954062567252949,0.6072390233180078,0.6088669581042796
78,10980225216,0.4983587359605387,0.5016514666009366,0.4646315009787842,0.48339946757747754,0.49396715358587107
79,11002352834,0.7937221453818964,0.8112743242220035,0.7979921833090659,0.8033665458937198,0.8082882950980763
80,11036641226,0.3282390161759453,0.3659220423979941,0.476484643627251,0.4457969316002557,0.41044849679645146
81,11050409385,0.7187914377723054,0.6624239070282236,0.7068846100567946,0.6528891115564462,0.659680216572903
82,11071986404,0.24291722000885346,0.2321122609827976,0.25079545454545454,0.24293242184718364,0.24012001562333557
83,11101358996,0.721571012569575,0.741731341118445,0.6848665223665223,0.715659291560925,0.7323044748133992
84,11154049584,0.8172316456018106,0.8375605228167884,0.8029193247748813,0.8330938634760574,0.8414298572714415
85,11314266424,0.7451860965856659,0.7559335206552281,0.7195485973622491,0.7269435127192853,0.7469584923664122
86,11650557765,0.551692746354283,0.5500518628101141,0.5415834881177635,0.5423022150541325,0.5471318120530457
87,11764496003,0.5521973581745251,0.581096365015963,0.5446907318861612,0.5717961914565105,0.5755722548354992
88,11765015695,0.7690199498140271,0.7962623351672343,0.7463632307005801,0.7708782445624551,0.7878210395650121
89,11776645404,0.46175751619162825,0.46873557633912305,0.47298680171079216,0.47402942740648824,0.4685517580526186
90,12015590114,0.5256838553898059,0.5091773138049237,0.5375870858113849,0.5243259843537855,0.5152861207714196
91,12031178616,0.6845985912592165,0.7324246480872987,0.6641962200042472,0.7125650903856737,0.7206433089214381
92,12048726756,0.7239814617308848,0.6984244533723363,0.7086832590438659,0.6965624713539279,0.6984880093045581
93,12066557153,0.5343212306794984,0.5289673421070956,0.5000684181718664,0.4964998364409552,0.5178778376167428
94,12103535156,0.49864591754244136,0.49707777611269294,0.5206584225981223,0.5153120408321089,0.503558988338634
95,12158276143,0.4338167798788324,0.456644951906117,0.4354467848930941,0.45224725813003275,0.4536679993376073
96,12328837165,0.43825864276568505,0.46092434831403356,0.46599739309169297,0.48071005028897396,0.471277887388071
97,12373955905,0.5981993056363063,0.6287944084875648,0.5790909242104213,0.615178287290306,0.6227984873041599
98,12444360833,0.5814081187137558,0.5749527348588566,0.5836878766323531,0.5823718579772921,0.578435092034171
99,12512072175,0.5479188293205639,0.5790767818503705,0.5917915137083706,0.6171788166067342,0.5961488420504814
100,12534178685,0.6601024788810415,0.6982206209950221,0.6349134645246901,0.6795278019235622,0.6948953024595612
101,12598610153,0.684927071697991,0.6966466620294731,0.6688932673362488,0.686318726780123,0.6931305121773607
102,12599965145,0.7808849000157455,0.7913850562182702,0.7324113234340752,0.7476645500061058,0.776630653499675
103,12729873904,0.7441190268748743,0.7595270853998016,0.6914146958054752,0.7158816133088306,0.7449489253375439
104,13153991894,0.3933521213759024,0.3595525442868234,0.4509951682255419,0.42615159128978225,0.3842150910667823
105,13234495505,0.40580776973229576,0.4203687089398894,0.4047442879128685,0.41073240008115236,0.4172408801389693
106,13409856383,0.78382036396843,0.8083468266819062,0.7902585487906589,0.8235079333466109,0.815368713459737
107,13447842855,0.7673550871022173,0.760719982857551,0.8304831179550672,0.825405837871319,0.7953089558563274
108,13579448834,0.4779544091181764,0.48230689494942275,0.45321052432901743,0.460360524399126,0.4736501545761737
109,13660204414,0.5598932810628335,0.6403701763576043,0.5667284684810746,0.6005539417685605,0.6235019401806257
110,13721325644,0.6242157028997796,0.6384838763626413,0.5682575684235275,0.5712017302506399,0.614414026011353
111,13861270725,0.714488270172725,0.70425789024737,0.6742108397855867,0.6672415577248112,0.689969124973686
112,14062380939,0.34055713439005486,0.34661717019060057,0.37402166669249726,0.37609887987640017,0.35844251980161373
113,14172932360,0.6156855200718225,0.6266546581769437,0.5827795874049946,0.5992847411444142,0.6145574157635052
114,14174434304,0.7069702547052188,0.7494321366411989,0.6838824577025824,0.6715432226730239,0.7212765957446808
115,14203929291,0.3738935187184248,0.413066692554121,0.4286657375485953,0.4802369033349785,0.4399559514350632
116,14414061986,0.69717467329284,0.729211890311434,0.7398169225553349,0.7677204189957255,0.7447107325692022
117,14566072101,0.6189945011783189,0.6353306107179599,0.607357075913777,0.6195248700816629,0.6292974821262045
118,14648401332,0.484846985885767,0.6034174099293501,0.5985268545555956,0.6721236567611004,0.6320006371455877
119,14652810592,0.6891906245574281,0.718537678910157,0.6746935988211192,0.7267299769569164,0.7213114754098361
120,14678892718,0.48358670792412217,0.4424626472850954,0.5761937460384534,0.5551819322459222,0.49315469488853864
121,14680986811,0.5271643931975228,0.5518650504272211,0.5767036062840469,0.6106943587831151,0.5748844225316703
122,14742398172,0.8966269660878262,0.9188389360457905,0.8653737078034947,0.9038687198743524,0.9171743519196756
123,14778198185,0.6945426741852241,0.7101839806727374,0.6911460089599691,0.7034699569800974,0.7083216259248852
124,14899015793,0.7473310492080044,0.7535328549386495,0.7106674015432408,0.7336185515873016,0.7526992793723407
125,15135657108,0.7228445232128269,0.7445163390713384,0.7286857048120363,0.740123887270788,0.7430460153157687
126,15210828119,0.32421961786269715,0.33208381391772396,0.33316255884796453,0.3411331058020478,0.337262920978234
127,15679023977,0.5013270919795386,0.5140684587480234,0.5432808716707022,0.5403603690642964,0.5279597455615684
128,15799251138,0.6427361178856571,0.652938177182919,0.6174809628456074,0.6275802387436688,0.6445527172806839
129,15994498891,0.49762459388217983,0.5172063531149963,0.42818072251923733,0.45710791806786916,0.49454322501532805
130,16012165838,0.7495914047638186,0.7627207875964095,0.7315205057545794,0.7485609488367112,0.7622679045092838
131,16101081359,0.6783906571892437,0.7103311452272213,0.6982693548165736,0.7216290811174688,0.7173933402009445
132,16369370669,0.6869600840710329,0.7015906607226491,0.6072149659620848,0.6463032636276139,0.6835824011412467
133,16419739420,0.5590730226161785,0.5545101651424436,0.5713555552485806,0.5791996749949218,0.5663869792428493
134,16563757295,0.39334314596756276,0.39542547005233575,0.39788135593220336,0.4006177018107971,0.39747234066270937
135,16659090834,0.6709259708218651,0.6990404767675615,0.7280004806175936,0.743422525332418,0.7214237121310811
136,16804898716,0.7069585102907546,0.7525540186239942,0.6292272647625723,0.6714289944332583,0.7264455401165397
137,16950760048,0.6608376708367577,0.6482827628829572,0.6377204471383753,0.6402899067308263,0.6493744639318565
138,17140316339,0.6876133262513966,0.6903347494226939,0.5628637842863784,0.5933733340413104,0.6699909978288882
139,17537079145,0.8458086284272939,0.8536025105956194,0.8493786830643095,0.8526101116134948,0.8529741324113203
140,19306860381,0.6679137940698391,0.6970819179150192,0.634691326458138,0.6679834090460202,0.6903995296357477
141,20854461578,0.5959059147721681,0.6103406510219531,0.4937095928708719,0.522035438437074,0.5831080871159163
142,2401957951,0.2942848219862586,0.28445075014338755,0.30533683289588803,0.2979698962813053,0.2888010297903641
143,2404965389,0.6455011891130098,0.6663215174814391,0.6255992223915877,0.6508394079964657,0.6621195759966503
144,2432219254,0.5993764614185503,0.6128370227632342,0.5874746724823288,0.5989206144194843,0.6083726580385928
145,2462141223,0.5647775175644029,0.5582457070483933,0.5309511826874685,0.5336565548735285,0.5495382527365533
146,2465634368,0.7803687720674775,0.795834702467571,0.758072696534235,0.7588970284613149,0.7838194433664996
147,2499673064,0.2746197463396143,0.3153896911013243,0.2987242237021584,0.35793059465849525,0.3378464011375404
148,2509250774,0.6000558386263698,0.5693241459252343,0.6343932225767411,0.6053359751306665,0.5844723983095615
149,2542659118,0.2377820006821615,0.247558287224258,0.2635633218102319,0.2550550313300843,0.2514859997331871
150,2630218696,0.645402815214136,0.672575837528702,0.7862688114826791,0.8098928344013765,0.7714483949987965
151,2695985181,0.6062960682850534,0.6018784158479317,0.6088790712351974,0.6033977274528137,0.6042707272521539
152,2698329253,0.7781134190775747,0.7963211014890038,0.7232034404648567,0.7404853380619315,0.7885351958543886
153,2766580444,0.23879061106483068,0.2596868365180467,0.23805628272251309,0.24579251444360714,0.25394697002465505
154,2778088729,0.6842231947483589,0.647866167331989,0.7212136688643328,0.7041522491349481,0.666249841041075
155,2808068937,0.6069442830824384,0.5994036894720898,0.6660493050186107,0.6691787439613527,0.6284951640276153
156,2811549163,0.5832862650720758,0.6086569855270211,0.564290774078507,0.6005421686746988,0.6133186344583627
157,2819123278,0.7040465400314981,0.7197922191370543,0.652764730653364,0.6904232313870868,0.7074651429990995
158,2858344348,0.6096974300544372,0.6874922234664675,0.6040023148853217,0.6742144457225888,0.6847959685349065
159,2895192729,0.705938101584481,0.7433468452590765,0.7002709548212287,0.7384772760485168,0.7406642650030753
160,2897081671,0.6821725174504509,0.7739492301290054,0.6477795313003785,0.7539348112123382,0.7661576379290246
161,2897653916,0.5045347665435002,0.4347175999614142,0.5398837348675536,0.47282551673486517,0.45125919991989183
162,2907554899,0.5714002098754928,0.5988102920957378,0.5633437922795705,0.5955482393358145,0.5997568285924334
163,2935372113,0.562799148221228,0.5521450303346715,0.574034398034398,0.5614507357354627,0.5553569816770466
164,2961466546,0.40801005284186104,0.42304243873281533,0.4415152428522218,0.44586491926849114,0.4323784499700931
165,3012435981,0.5122621476454178,0.52886796206645,0.5143367883864085,0.5346567365537369,0.531190773821525
166,3052033339,0.147521280506773,0.15416234227344733,0.1614749538893931,0.1744855497919398,0.15932227025519452
167,3102685146,0.6980368828078525,0.6740143165549369,0.7279754631823055,0.7109743987211471,0.68898709152227
168,3109408703,0.7722650538349063,0.7945036510755872,0.7410482359517312,0.7453861927546138,0.7733971635840795
169,3202731977,0.7852848171736516,0.7519886829588323,0.8155147414209764,0.8352219296595824,0.8063763608087092
170,3207674548,0.5603377737047098,0.5399654451213968,0.5647157649317699,0.559604456287925,0.5558385210337672
