sample_id,sample_index,gt_nearfp_visual_cosine,group
0m9-5BkL4Mc_000030,181,0.8471863196929565,B_close
0mNvPaqfwUI_000220,182,0.8854362108206488,transition
0n-Z2AQCRnU_000385,183,0.9357256729479945,B_close
0n56ajMNoMA_000118,184,0.9508519267368637,A_ogl_help
0nYltlo90Zc_000147,185,0.9859144056740825,B_close
0nYltlo90Zc_000161,186,0.9698634939207622,transition
0nvBTp-q7tU_000112,187,0.9840011593570293,B_close
0oTdsarJHA4_000220,188,0.9389142894767074,transition
0olhNr566Z0_000018,189,0.922859115958535,B_close
0q5kQGcOn2I_000083,190,0.8499231362150689,C_aud_better
0q6GOUn_dhU_000066,191,0.9627508911501556,transition
0q9FUj_2qMc_000539,192,0.7982443742238556,transition
0sT6vnChbrc_000000,193,0.9400148326889993,transition
0slFEpnTKkY_000115,194,0.7501610379244661,B_close
0teMcpgy9Jo_000058,195,0.952798955973456,B_close
0ti14lvd2Aw_000000,196,0.9912708784094812,A_ogl_help
0w9PLY1owzk_000108,197,0.920735775833636,B_close
0wdNFZhpdQw_000368,198,0.9236003087166559,B_close
0welW-8hB1c_000071,199,0.8554573884127115,B_close
0wzsE67O5tE_000230,200,0.8513915953958259,B_close
0x9TnOQ5Nhw_000020,201,0.9545763751135377,B_close
0xPWkrfjMu0_000178,202,0.9713843251503614,B_close
0yxJzCQW5zI_000030,203,0.8836034094795497,transition
10YXuv9Go0E_000140,204,0.9666389779603153,B_close
10aBef0Ghkc_000040,205,0.8590952957600125,transition
10aF24rMeu0_000030,206,0.997741509543387,B_close
10hGfv89L3g_000030,207,0.9851204649009195,B_close
115l3adqQ1M_000417,208,0.940629026957199,B_close
126AbihZt28_000009,209,0.9691366929825095,B_close
12T-9dLEbY8_000020,210,0.9550324464779741,B_close
130v5XJl8G0_000070,211,0.8581188086000612,transition
13W_9xdaOZE_000068,212,0.993150709807585,B_close
14jcqHjMXcI_000000,213,0.9769553706380381,B_close
14lBeX_dOHU_000234,214,0.9752171365005151,transition
14tRPoQA4q0_000004,215,0.9771040724601788,B_close
15Mw2jyyHk0_000030,216,0.6179447041601146,B_close
15pi8h_bHQE_000173,217,0.9687332007189106,B_close
169a2JSphHA_000269,218,0.9614747095974747,B_close
16CvcIXIjzQ_000332,219,0.8630249639761116,transition
17K-oEuH1p0_000020,220,0.9712224755341583,B_close
17WW_p1N7BQ_000030,221,0.9592037158514184,B_close
17yDXvJTdeo_000603,222,0.929251380340492,transition
18212B4yfLg_000080,223,0.9535904018701084,C_aud_better
18r-Vtspi8g_000030,224,0.9793036517103421,B_close
190Zx0wVrhQ_000003,225,0.8711641294155184,B_close
19r6_MQei4M_000119,226,0.9099933391844415,transition
1ACn3u5UnBw_000030,227,0.0,B_close
1CZ-bybGzu4_000030,228,0.7491662432467819,B_close
1D6UsaTflJ8_000060,229,0.8702460838293271,transition
1ETrMAVZdY8_000030,230,0.8800708021550484,B_close
1ErGsKIlhAI_000051,231,0.8193694897880777,B_close
1F3_bvIT0ig_000000,232,0.9715969752648373,B_close
1F9zCsJyw6k_000230,233,0.9918278370951799,B_close
1FWUnWVX5Xk_000159,234,0.9595381033036786,A_ogl_help
1FnA3w94zXI_000030,235,0.770284984140446,transition
1GDAnA4hAqQ_000105,236,0.9094320222836908,B_close
1HUCwslugK8_000283,237,0.9089303512515019,transition
1Isq_KJHriU_000016,238,0.9858614421495826,B_close
1JY4rwQZn3s_000011,239,0.8605762897489154,B_close
1JsIcP2nXMw_000108,240,0.9777979341649724,transition
1MTKUN3uFrs_000440,241,0.973489640792661,transition
1MaEJRh2oGY_000034,242,0.8607032238940047,B_close
1MaEJRh2oGY_000089,243,0.9033515771027112,B_close
1OFDyTzUj24_000030,244,0.9258896267686935,B_close
1P9yEzO1Bic_000025,245,0.9696389022002316,B_close
1PN-bfs2EhY_000030,246,0.9171445109749267,B_close
1Qvce8w_Vds_000011,247,0.8796951267905281,B_close
1RhYdQnZ_hw_000030,248,0.934084094464298,B_close
1SJFTbu1abo_000042,249,0.9935845398977954,B_close
1TAOyk0Xgss_000370,250,0.9755764078761904,B_close
1TJrceFMGrU_000114,251,0.9416612712043708,transition
