scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
144k,flickr,12,10069511285,_,1.070980306394631e-05,2.2884698410052806e-05,1.3781956113234628e-05,9.301234968006611e-06,2.5921162887243554e-05,1.0406407454865985e-05,1.3989192666485906e-05,1.8461436411598697e-05,1.1507888302730862e-05,9.301234968006611e-06,1.6548600569876726e-06,1.1376810107321944e-05,4.480721145228017e-06,0.03125,0.0,True,0.502863883972168,"[149, 141, 3, 93]","[""2542659118"", ""20854461578"", ""10009662863"", ""12066557153""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,13,10079676496,_,1.950215118995402e-05,1.208567846333608e-05,6.060602117941016e-06,3.12289671455801e-06,1.484668337070616e-05,7.378386726486497e-06,6.267084700084524e-06,8.676159268361516e-06,4.503087893681368e-06,3.12289671455801e-06,1.0453550203237683e-06,7.5825905696547125e-06,2.9377054033830063e-06,0.75,0.75,False,0.3725970387458801,"[72, 65, 220, 205]","[""10847897294"", ""10743985374"", ""5697766486"", ""4938432980""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,14,10080652613,_,1.41854088724358e-05,1.8332864783587866e-05,1.2709588190773502e-05,9.358654097013641e-06,1.7860867956187576e-05,4.940545295539778e-06,1.2496308954723645e-05,1.4476857359113637e-05,1.0544762517383788e-05,9.358654097013641e-06,1.162168132395891e-06,7.788102266204078e-06,3.350934093759861e-06,0.21875,0.25,False,0.5751835703849792,"[38, 218, 92, 178]","[""10409146004"", ""5601291878"", ""12048726756"", ""3668283413""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,15,10106776154,_,8.469765816698782e-06,1.5461693692486733e-05,8.993325536721386e-06,5.731370492867427e-06,2.0229788788128644e-05,7.540525075455662e-06,1.133714340539882e-05,1.4309791367850266e-05,9.117758963839151e-06,5.731370492867427e-06,2.1186115191085264e-06,6.343934728647582e-06,3.261955043853959e-06,0.03125,0.0,True,0.5896998643875122,"[65, 249, 89, 125]","[""10743985374"", ""9761803312"", ""11776645404"", ""15135657108""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,16,10109936483,_,4.9504033086122945e-06,1.0225219739368185e-05,7.062810709612677e-06,4.496772362472257e-06,8.571709258831106e-06,2.5493484372418607e-06,5.8625382735044695e-06,6.9961433837306686e-06,5.2049736041226424e-06,4.496772362472257e-06,5.884704705749755e-07,5.020246135245543e-06,2.5660383471404202e-06,0.0625,0.0,True,0.5090329051017761,"[6, 9, 108, 128]","[""10031203703"", ""10060697266"", ""13579448834"", ""15799251138""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,17,10110769444,_,1.7076838048524223e-05,2.7017638785764575e-05,1.3183146620576736e-05,1.3183146620576736e-05,3.60630001523532e-05,1.2191152563900687e-05,2.019977182499133e-05,2.5834528059931472e-05,1.6964733731583692e-05,1.3183146620576736e-05,2.489502094249474e-06,1.0052905054180883e-05,0.0,0.03125,0.25,False,0.627913236618042,"[19, 102, 9, 134]","[""10119607346"", ""12599965145"", ""10060697266"", ""16563757295""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,18,10111706074,_,1.4524780453939456e-05,1.0152785762329586e-05,7.786712558299769e-06,1.5476733778996277e-06,8.670773240737617e-06,4.118865035707131e-06,3.609623718148214e-06,6.5487656684126705e-06,2.6962102310790215e-06,1.5476733778996277e-06,8.18494754639687e-07,7.456575531250564e-06,6.239039066713303e-06,0.90625,1.0,False,0.26556357741355896,"[50, 36, 31, 137]","[""10481128583"", ""10369815925"", ""10278084464"", ""16950760048""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,19,10119607346,_,1.2736654753098264e-05,4.049761628266424e-05,1.957439599209465e-05,6.472705990745453e-06,3.261401070631109e-05,2.2140053260955028e-05,1.0083529559778981e-05,1.600449286343064e-05,7.875454684835859e-06,6.472705990745453e-06,1.368884227304079e-06,3.2622163416817784e-05,1.3101689546601847e-05,0.15625,0.0,True,0.19446711242198944,"[149, 202, 170, 18]","[""2542659118"", ""4758950312"", ""3207674548"", ""10111706074""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,20,10119736773,_,1.1335991985106375e-05,1.4261457181419246e-05,8.98759753908962e-06,5.929101007495774e-06,1.7062233382603154e-05,5.625689937005518e-06,1.004697878670413e-05,1.332795545749832e-05,8.456543582724407e-06,5.929101007495774e-06,1.4981482081566355e-06,5.804913598694839e-06,3.058496531593846e-06,0.125,0.25,False,0.5929648876190186,"[92, 228, 19, 149]","[""12048726756"", ""6185482260"", ""10119607346"", ""2542659118""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,21,10129791115,_,6.249504622246604e-06,1.195851291413419e-05,8.879431334207766e-06,4.599233307089889e-06,1.0251495950797107e-05,3.1573397336615017e-06,5.2096793297096156e-06,8.34437923913356e-06,4.929316219204338e-06,4.599233307089889e-06,2.128990672645159e-07,7.029196694929851e-06,4.280198027117876e-06,0.1875,0.0,True,0.4122014343738556,"[23, 119, 9, 134]","[""10163352444"", ""14652810592"", ""10060697266"", ""16563757295""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,22,10129813456,_,1.7790396213968052e-06,1.117535157391103e-05,6.235664841369726e-06,5.588251497101737e-06,1.2655294085561763e-05,5.015462647861568e-06,6.42702252662275e-06,9.034965842147358e-06,5.996482741466025e-06,5.588251497101737e-06,3.377931818704383e-07,5.178868832445005e-06,6.474133442679886e-07,0.0,0.0,False,0.5365810990333557,"[142, 70, 225, 190]","[""2401957951"", ""10796050285"", ""6067281197"", ""4041216001""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,23,10163352444,_,3.0937560495658545e-06,2.2122392692836e-05,1.2255573892616667e-05,5.785095254395856e-06,1.7512214981252328e-05,8.373336640943307e-06,9.151473022939172e-06,1.105393675970845e-05,7.2306188485526945e-06,5.785095254395856e-06,1.2235183248776593e-06,1.4891773389535956e-05,6.470478638220811e-06,0.0,0.0,False,0.3268461525440216,"[83, 139, 132, 141]","[""11101358996"", ""17537079145"", ""16369370669"", ""20854461578""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,24,10165890496,_,1.2736964890791569e-05,1.3945435057394207e-05,7.909849955467507e-06,3.791752760662348e-06,1.6378835425712168e-05,1.2910410987387877e-05,7.883896614657715e-06,8.959967090049759e-06,5.742877874581609e-06,3.791752760662348e-06,1.7398384670741507e-06,8.202557182812598e-06,4.118097422178835e-06,0.40625,0.5,False,0.41181060671806335,"[121, 167, 173, 223]","[""14680986811"", ""3102685146"", ""3413119417"", ""5906878321""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,25,10173808724,_,1.0202695193584077e-05,1.1033294867957011e-05,6.833378392911982e-06,5.024749043514021e-06,1.2101952052034903e-05,4.1378284549864475e-06,6.8779786488448735e-06,8.474144124193117e-06,6.042155291652307e-06,5.024749043514021e-06,6.687333211630175e-07,4.991139576304704e-06,1.808629349397961e-06,0.34375,0.25,False,0.5476292967796326,"[142, 246, 207, 189]","[""2401957951"", ""9309351423"", ""4965189170"", ""4007045926""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,26,10202025415,_,3.379035842954181e-05,4.33037021139171e-05,1.9090095520368777e-05,1.7153484805021435e-05,5.011239409213886e-05,2.021552609221544e-05,2.4609025786048733e-05,3.3741693187039346e-05,2.044310349447187e-05,1.7153484805021435e-05,2.619595534270047e-06,2.2860598619445227e-05,1.936610715347342e-06,0.25,0.25,False,0.47208672761917114,"[76, 248, 229, 123]","[""10952523225"", ""9636000842"", ""6289328021"", ""14778198185""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,27,10221582415,_,1.6714606317691505e-05,1.3711905012314674e-05,9.656952897785231e-06,8.722206075617578e-06,1.610193430678919e-05,4.024743248010054e-06,1.1437976354500279e-05,1.3089202184346505e-05,1.01818286566413e-05,8.722206075617578e-06,1.0512544577068184e-06,3.5300763556733727e-06,9.347468221676536e-07,0.625,1.0,False,0.7425538897514343,"[37, 206, 249, 218]","[""10389014583"", ""4957886467"", ""9761803312"", ""5601291878""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,28,10234680056,_,1.264228831132641e-05,2.5758930860320106e-05,2.311483876837883e-05,1.0796203241625335e-05,2.4510831281077117e-05,7.769154763082042e-06,1.5480971342185512e-05,1.977739520953037e-05,1.3180422683944926e-05,1.0796203241625335e-05,1.6387956520702573e-06,1.257850817637518e-05,1.2318635526753496e-05,0.03125,0.0,True,0.5116835832595825,"[150, 235, 88, 12]","[""2630218696"", ""7387939334"", ""11765015695"", ""10069511285""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,29,10246013484,_,2.9415457902359776e-05,2.9154160074540414e-05,1.6172605683095753e-05,1.4936066691007e-05,3.0606086511397734e-05,8.32133628136944e-06,2.008076808124315e-05,2.4834722353261895e-05,1.7626789485802874e-05,1.4936066691007e-05,2.124989350704709e-06,1.152737058873754e-05,1.2365389920887537e-06,0.5,0.5,False,0.6046063303947449,"[15, 88, 6, 91]","[""10106776154"", ""11765015695"", ""10031203703"", ""12031178616""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,30,10268129763,_,3.359285619808361e-05,3.8714999391231686e-05,2.13226394407684e-05,1.6178644727915525e-05,5.818932913825847e-05,3.260012817918323e-05,2.1395097064669244e-05,3.225550608476624e-05,1.9014860299648717e-05,1.6178644727915525e-05,1.8686865814743214e-06,1.970013909158297e-05,5.143994712852873e-06,0.3125,0.5,False,0.4911496937274933,"[85, 74, 237, 222]","[""11314266424"", ""10862172945"", ""7623513024"", ""5873098388""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,31,10278084464,_,2.9126742447260767e-05,2.7221136406296864e-05,1.2852144209318794e-05,1.2852144209318794e-05,2.7438223696663044e-05,6.773997029085876e-06,1.762579267960973e-05,2.4076292902464047e-05,1.5522422472713515e-05,1.2852144209318794e-05,1.7688709021967952e-06,1.1698713933583349e-05,0.0,0.5,0.5,False,0.5702341794967651,"[230, 40, 150, 181]","[""6458319057"", ""10413912845"", ""2630218696"", ""3727937033""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,32,10283938426,_,8.933878234529402e-06,1.4202873899193946e-05,8.450952009297907e-06,2.706662144191796e-06,1.0940237189061008e-05,4.882415396423312e-06,4.36004165749182e-06,7.98042310634628e-06,3.6177966649120208e-06,2.706662144191796e-06,6.027295285093714e-07,1.0585077689029276e-05,5.744289865106111e-06,0.375,0.25,False,0.25472286343574524,"[214, 90, 41, 103]","[""5303633386"", ""12015590114"", ""10437048305"", ""12729873904""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,33,10289643764,_,2.5668832677183673e-05,3.5807082895189524e-05,1.1995773093076423e-05,7.4106219472014345e-06,4.06019898946397e-05,2.2963980882195756e-05,1.616552981431596e-05,2.3849166609579697e-05,1.2338575288595166e-05,7.4106219472014345e-06,3.1897195640340215e-06,2.3468506697099656e-05,4.585151145874988e-06,0.28125,0.25,False,0.34458476305007935,"[240, 71, 173, 5]","[""7897462346"", ""10805310706"", ""3413119417"", ""10016382545""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,34,10304554474,_,1.6343548850272782e-05,2.1009451302234083e-05,1.3460706213663798e-05,1.0336570085200947e-05,1.7891743482323363e-05,5.481193056766642e-06,1.1779797205235809e-05,1.379439709126018e-05,1.1160143913002685e-05,1.0336570085200947e-05,5.11340488174028e-07,9.849307389231399e-06,3.124136128462851e-06,0.53125,0.25,False,0.5311963558197021,"[25, 8, 186, 64]","[""10173808724"", ""10045181004"", ""3896768873"", ""10701841844""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,35,10308472565,_,6.30860904493602e-06,1.4778394870518241e-05,1.2552172847790644e-05,3.061887809963082e-06,1.598665039637126e-05,7.408043984469259e-06,8.013535989448428e-06,1.0207279046881013e-05,4.9824780035123695e-06,3.061887809963082e-06,1.875086923064373e-06,9.79591641225852e-06,9.490285265201237e-06,0.09375,0.0,True,0.3371460735797882,"[127, 206, 191, 125]","[""15679023977"", ""4957886467"", ""4180455681"", ""15135657108""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,36,10369815925,_,1.9299537598271854e-05,1.1597700904530939e-05,7.661697054572869e-06,4.747460479848087e-06,1.0805322745000012e-05,3.4069744287990034e-06,6.759997177141486e-06,7.70552742324071e-06,5.9064809647679795e-06,4.747460479848087e-06,7.210481385300227e-07,5.691219939762959e-06,2.9142365747247823e-06,0.96875,0.75,False,0.5092803239822388,"[215, 92, 93, 8]","[""5344317532"", ""12048726756"", ""12066557153"", ""10045181004""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,37,10389014583,_,1.0389931048848666e-05,6.418423254217487e-06,4.414374416228384e-06,3.108044211330707e-06,1.4245390957512427e-05,7.209515842987457e-06,4.443090347194811e-06,8.552367944503203e-06,3.956544787797611e-06,3.108044211330707e-06,5.241520284471335e-07,2.4618784664198756e-06,1.3063302048976766e-06,0.34375,1.0,False,0.6164356470108032,"[35, 113, 185, 5]","[""10308472565"", ""14172932360"", ""3828103578"", ""10016382545""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,38,10409146004,_,6.4887381086009555e-06,1.3173862498661038e-05,7.727471711405087e-06,3.936197117582196e-06,1.2329252967901994e-05,6.233612111827824e-06,6.2194085330702364e-06,8.068998795351945e-06,4.9705458877724595e-06,3.936197117582196e-06,9.167124517261982e-07,8.203316610888578e-06,3.791274593822891e-06,0.125,0.0,True,0.3773036003112793,"[215, 156, 162, 142]","[""5344317532"", ""2811549163"", ""2907554899"", ""2401957951""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,39,10409351364,_,5.2659666835097596e-05,0.00015130292740650475,3.8569294702028856e-05,3.123691203654744e-05,0.0001435999438399449,6.563781789736822e-05,4.938539132126607e-05,9.976638102671131e-05,3.890855441568419e-05,3.123691203654744e-05,6.236259650904685e-06,0.00011239437299082056,7.332382665481418e-06,0.125,0.25,False,0.257156640291214,"[237, 209, 226, 240]","[""7623513024"", ""5130986168"", ""6098668510"", ""7897462346""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,40,10413912845,_,5.94335506320931e-05,5.9207020967733115e-05,3.70039779227227e-05,1.8224422092316672e-05,5.225642235018313e-05,2.7406040317146108e-05,2.3632426746189594e-05,3.42187522619497e-05,2.1354211639845744e-05,1.8224422092316672e-05,2.1545163235714426e-06,3.785280932788737e-05,1.8779555830406025e-05,0.6875,0.5,False,0.360670268535614,"[223, 216, 30, 226]","[""5906878321"", ""5480070309"", ""10268129763"", ""6098668510""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,41,10437048305,_,2.658881749084685e-05,2.9881564842071384e-05,2.0045306882821023e-05,1.9403327314648777e-05,3.409276541788131e-05,8.469442946079653e-06,2.3564405637443997e-05,2.633745680213906e-05,2.153063178411685e-05,1.9403327314648777e-05,1.8239528571939445e-06,8.350933057954535e-06,6.419795681722462e-07,0.28125,0.75,False,0.7205322980880737,"[14, 125, 155, 57]","[""10080652613"", ""15135657108"", ""2808068937"", ""10610974774""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,42,10440265465,_,8.933297976909671e-06,1.428807809134014e-05,4.169782187091187e-06,3.7620673083438305e-06,1.1466470823506825e-05,5.470958967634942e-06,6.022419711371185e-06,7.033184374449775e-06,4.82811447000131e-06,3.7620673083438305e-06,8.997301392810186e-07,9.45996362133883e-06,4.077148787473561e-07,0.375,0.5,False,0.33791211247444153,"[104, 184, 69, 148]","[""13153991894"", ""3801318146"", ""10795023275"", ""2509250774""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,43,10441843213,_,1.1145343705720734e-05,9.652590961195529e-06,6.098930953157833e-06,2.7578569188335678e-06,9.048642823472619e-06,3.6819787965214346e-06,5.558380962611409e-06,6.495469278888777e-06,3.722647761605913e-06,2.7578569188335678e-06,1.0771371989903855e-06,5.929943199589616e-06,3.341074034324265e-06,0.75,0.5,False,0.38566306233406067,"[150, 170, 222, 184]","[""2630218696"", ""3207674548"", ""5873098388"", ""3801318146""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,44,10446128125,_,7.228462436614791e-06,1.6321173461619765e-05,1.0735906471381895e-05,6.05703371547861e-06,1.643470568524208e-05,5.872839665244101e-06,9.543869964545593e-06,1.2666688235185575e-05,7.570728030259488e-06,6.05703371547861e-06,1.2089341225873795e-06,8.750444976612926e-06,4.678872755903285e-06,0.03125,0.0,True,0.46385928988456726,"[15, 205, 82, 27]","[""10106776154"", ""4938432980"", ""11071986404"", ""10221582415""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,45,10451898725,_,2.8119608032284304e-05,1.8697912310017273e-05,1.4025811651663389e-05,1.1516726772242691e-05,2.7805945137515664e-05,9.819755177886691e-06,1.5943422113195993e-05,2.1601248590741307e-05,1.3834654964739457e-05,1.1516726772242691e-05,1.4838408333162079e-06,4.863257345277816e-06,2.5090848794206977e-06,0.59375,1.0,False,0.7399037480354309,"[147, 109, 232, 193]","[""2499673064"", ""13660204414"", ""6755812421"", ""4351373013""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,46,10468313544,_,2.080311423924286e-05,8.697899465914816e-05,3.423917223699391e-05,1.24275966300047e-05,6.487371138064191e-05,3.7200134102022275e-05,1.8583126802695915e-05,3.4517779567977414e-05,1.5744491975056008e-05,1.24275966300047e-05,2.374881205469137e-06,7.123450632207096e-05,2.1811574697494507e-05,0.15625,0.0,True,0.18101488053798676,"[71, 196, 188, 94]","[""10805310706"", ""4543136011"", ""3956341886"", ""12103535156""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,47,10476442285,_,6.760017640772276e-06,2.178396243834868e-05,1.892126238089986e-05,2.67005725618219e-06,1.8954371626023203e-05,1.2785571925633121e-05,5.4022434596845414e-06,8.88399426912656e-06,4.553434337140061e-06,2.67005725618219e-06,1.102421492760186e-06,1.723052810120862e-05,1.625120421522297e-05,0.15625,0.0,True,0.20902690291404724,"[116, 208, 109, 223]","[""14414061986"", ""5006362787"", ""13660204414"", ""5906878321""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,48,10476446674,_,1.70248094946146e-05,1.4794581147725694e-05,1.1465443094493821e-05,6.960315204196377e-06,1.527261883893516e-05,4.196948339085793e-06,1.0022517017205246e-05,1.2260441508260556e-05,8.668977898196317e-06,6.960315204196377e-06,1.201937948280829e-06,6.125603249529377e-06,4.5051278902974445e-06,0.6875,0.75,False,0.5859562754631042,"[203, 166, 68, 32]","[""4767923306"", ""3052033339"", ""10771238614"", ""10283938426""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,49,10477544895,_,3.6545748116623145e-06,7.78392222855473e-06,5.92103469898575e-06,3.0760531899431953e-06,7.163863756431965e-06,2.4362843760172836e-06,4.042426098749274e-06,5.249146852293052e-06,3.717903155120439e-06,3.0760531899431953e-06,3.7445184375428653e-07,4.066018846060615e-06,2.8449815090425545e-06,0.03125,0.0,True,0.47763878107070923,"[249, 90, 52, 154]","[""9761803312"", ""12015590114"", ""10545790805"", ""2778088729""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,50,10481128583,_,1.0597987056826241e-05,1.808303022698965e-05,1.023508139041951e-05,7.198202638392104e-06,2.768879130599089e-05,1.1451339560153428e-05,1.3259844308777247e-05,2.0356548702693544e-05,1.030742350849323e-05,7.198202638392104e-06,1.9986605366284493e-06,7.77560671849642e-06,3.0368787520274054e-06,0.0625,0.25,False,0.5700052976608276,"[60, 120, 9, 42]","[""10654057765"", ""14678892718"", ""10060697266"", ""10440265465""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,51,10520382525,_,5.309243078954751e-06,5.5812611208239105e-06,2.7480002700031037e-06,2.5823730993579375e-06,9.915636837831698e-06,5.67578445043182e-06,4.010460088466061e-06,5.670809514413122e-06,3.2562411433900706e-06,2.5823730993579375e-06,6.040107223270752e-07,2.32501997743384e-06,1.656271706451662e-07,0.21875,0.5,False,0.583423912525177,"[164, 149, 192, 26]","[""2961466546"", ""2542659118"", ""4303617148"", ""10202025415""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,52,10545790805,_,2.186432175221853e-05,2.6577348762657493e-05,1.5481477021239698e-05,1.5481477021239698e-05,3.91610519727692e-05,1.423904632247286e-05,2.122477235388942e-05,3.0235247322707437e-05,1.877150498330593e-05,1.5481477021239698e-05,2.0433128611330176e-06,7.805843779351562e-06,0.0,0.125,0.5,False,0.7062970995903015,"[92, 139, 149, 142]","[""12048726756"", ""17537079145"", ""2542659118"", ""2401957951""]","[""_"", ""_"", ""_"", ""_""]"
144k,flickr,53,10548273474,_,5.846940439369064e-06,1.605042052688077e-05,1.3048656001046766e-05,4.830334546568338e-06,1.6977410268737003e-05,9.053866051544901e-06,6.782554009987507e-06,9.681054507382214e-06,6.009034223097842e-06,4.830334546568338e-06,7.32866965336143e-07,1.0041386303782929e-05,8.218321454478428e-06,0.03125,0.0,True,0.3743848502635956,"[27, 90, 153, 144]","[""10221582415"", ""12015590114"", ""2766580444"", ""2432219254""]","[""_"", ""_"", ""_"", ""_""]"
